variable,year,count
主職役,1747,26
주직역,1747,26
主姓名,1747,1261
주성명,1747,1193
父職役,1747,361
부직역,1747,350
父名,1747,7992
부명,1747,6026
生父職役,1747,19
생부직역,1747,19
生父名,1747,75
생부명,1747,75
母職役,1747,52
모직역,1747,49
母名,1747,1739
모명,1747,1523
所生,1747,16
祖職役,1747,413
조직역,1747,395
祖名,1747,6797
조명,1747,4869
曾祖職役,1747,571
증조직역,1747,542
曾祖名,1747,6426
증조명,1747,4694
外祖職役,1747,353
외조직역,1747,347
外祖名,1747,10078
외조명,1747,8987
外本,1747,368
외본,1747,332
備考,1747,544
전체순번,1750,10725
年度,1750,1
面名,1750,2
면명,1750,2
順番,1750,5720
里順,1750,24
里名,1750,43
리명,1750,43
統,1750,30
統首,1750,368
통수,1750,368
戶,1750,9
主戶,1750,1649
주호,1750,1625
新戶,1750,4
신호,1750,3
代戶,1750,79
대호,1750,79
戶內位相,1750,131
호내위상,1750,132
職役,1750,639
직역,1750,612
姓,1750,88
성,1750,74
名,1750,3918
명,1750,3340
改名,1750,73
개명,1750,73
年齡,1750,108
干支,1750,66
간지,1750,67
出入,1750,215
출입,1750,222
場所,1750,167
장소,1750,161
本,1750,3
본,1750,3
本貫,1750,136
본관,1750,131
主居,1750,37
주거,1750,36
主職役,1750,10
주직역,1750,10
